"[Software version]","Ver.2.46"
"[Measurement beginning time]",#16/12/2023 06:22:28#
"[Measurement end       time]",#16/12/2023 06:28:13#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",344
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.36,24.7,37.5
"Min.",0.03,23.0,35.6
"Avg.",0.18,24.1,36.2
" SD ",0.069,0.25,0.30
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.23,24.0,36.2,1013,0
"2",0.25,23.9,36.2,1013,0
"3",0.22,24.0,36.2,1013,0
"4",0.19,24.0,36.2,1013,0
"5",0.18,24.0,36.2,1013,0
"6",0.19,24.0,36.2,1013,0
"7",0.14,23.9,36.2,1013,0
"8",0.08,24.0,36.2,1013,0
"9",0.07,24.0,36.2,1013,0
"10",0.08,24.0,36.2,1013,0
"11",0.09,23.9,36.2,1013,0
"12",0.06,23.9,36.2,1013,0
"13",0.06,24.0,36.2,1013,0
"14",0.07,24.0,36.2,1013,0
"15",0.08,24.0,36.2,1013,0
"16",0.10,24.1,36.2,1013,0
"17",0.14,24.1,36.1,1013,0
"18",0.18,24.1,36.2,1013,0
"19",0.18,24.1,36.1,1013,0
"20",0.16,24.1,36.1,1013,0
"21",0.15,24.1,36.1,1013,0
"22",0.16,24.1,36.1,1013,0
"23",0.14,24.1,36.2,1013,0
"24",0.16,24.1,36.1,1013,0
"25",0.16,24.2,36.0,1013,0
"26",0.13,24.1,36.1,1013,0
"27",0.08,24.1,36.1,1013,0
"28",0.07,24.1,36.1,1013,0
"29",0.07,24.0,36.1,1013,0
"30",0.05,24.0,36.2,1013,0
"31",0.05,24.0,36.1,1013,0
"32",0.05,24.0,36.2,1013,0
"33",0.11,24.0,36.2,1013,0
"34",0.14,23.9,36.2,1013,0
"35",0.14,23.9,36.2,1013,0
"36",0.13,24.0,36.2,1013,0
"37",0.10,24.0,36.2,1013,0
"38",0.07,23.9,36.2,1013,0
"39",0.07,23.9,36.2,1013,0
"40",0.05,23.9,36.3,1013,0
"41",0.07,23.9,36.2,1013,0
"42",0.09,23.9,36.3,1013,0
"43",0.09,24.0,36.2,1013,0
"44",0.10,24.0,36.2,1013,0
"45",0.09,24.0,36.2,1013,0
"46",0.06,24.0,36.2,1013,0
"47",0.05,24.0,36.2,1013,0
"48",0.04,24.0,36.2,1013,0
"49",0.04,24.0,36.2,1013,0
"50",0.05,24.0,36.2,1013,0
"51",0.05,24.0,36.2,1013,0
"52",0.06,24.0,36.2,1013,0
"53",0.05,24.0,36.2,1013,0
"54",0.04,24.0,36.2,1013,0
"55",0.04,24.0,36.2,1013,0
"56",0.03,24.0,36.2,1013,0
"57",0.04,24.0,36.3,1013,0
"58",0.05,24.0,36.2,1013,0
"59",0.05,24.0,36.3,1013,0
"60",0.06,24.0,36.3,1013,0
"61",0.05,24.0,36.3,1013,0
"62",0.10,24.0,36.3,1013,0
"63",0.08,24.0,36.3,1013,0
"64",0.06,23.9,36.3,1013,0
"65",0.06,23.9,36.3,1013,0
"66",0.07,23.9,36.4,1013,0
"67",0.09,23.9,36.4,1013,0
"68",0.09,23.8,36.4,1013,0
"69",0.08,23.8,36.4,1013,0
"70",0.05,23.8,36.4,1013,0
"71",0.04,23.9,36.3,1013,0
"72",0.04,23.9,36.4,1013,0
"73",0.07,23.9,36.4,1013,0
"74",0.09,23.9,36.4,1013,0
"75",0.08,23.9,36.4,1013,0
"76",0.10,23.9,36.4,1013,0
"77",0.12,23.8,36.5,1013,0
"78",0.12,23.8,36.4,1013,0
"79",0.15,23.8,36.5,1013,0
"80",0.16,23.9,36.5,1013,0
"81",0.16,23.9,36.5,1013,0
"82",0.15,23.9,36.5,1013,0
"83",0.18,23.9,36.5,1013,0
"84",0.21,23.9,36.5,1013,0
"85",0.22,23.9,36.5,1013,0
"86",0.21,24.0,36.5,1013,0
"87",0.25,24.2,36.4,1013,0
"88",0.26,24.3,36.3,1013,0
"89",0.27,24.4,36.2,1013,0
"90",0.25,24.5,36.1,1013,0
"91",0.26,24.5,36.0,1013,0
"92",0.24,24.5,36.0,1013,0
"93",0.24,24.5,36.0,1013,0
"94",0.23,24.4,36.0,1013,0
"95",0.23,24.4,36.0,1013,0
"96",0.23,24.3,36.0,1013,0
"97",0.21,24.3,36.1,1013,0
"98",0.20,24.2,36.1,1013,0
"99",0.19,24.1,36.2,1013,0
"100",0.21,24.1,36.2,1013,0
"101",0.22,24.2,36.2,1013,0
"102",0.23,24.1,36.2,1013,0
"103",0.27,24.2,36.2,1013,0
"104",0.29,24.1,36.2,1013,0
"105",0.29,24.2,36.2,1013,0
"106",0.30,24.3,36.1,1013,0
"107",0.30,24.4,36.0,1013,0
"108",0.30,24.4,36.0,1013,0
"109",0.30,24.5,35.9,1013,0
"110",0.27,24.5,35.9,1013,0
"111",0.24,24.5,35.8,1013,0
"112",0.22,24.5,35.8,1013,0
"113",0.23,24.5,35.8,1013,0
"114",0.21,24.5,35.8,1013,0
"115",0.21,24.4,35.8,1013,0
"116",0.18,24.3,35.9,1013,0
"117",0.15,24.3,36.0,1013,0
"118",0.15,24.2,36.0,1013,0
"119",0.14,24.2,35.9,1013,0
"120",0.14,24.2,36.0,1013,0
"121",0.14,24.1,36.0,1013,0
"122",0.14,24.1,36.0,1013,0
"123",0.16,24.1,36.1,1013,0
"124",0.16,24.1,36.1,1013,0
"125",0.15,24.0,36.0,1013,0
"126",0.13,24.0,36.2,1013,0
"127",0.10,24.0,36.2,1013,0
"128",0.13,24.0,36.2,1013,0
"129",0.11,23.9,36.2,1013,0
"130",0.11,23.9,36.2,1013,0
"131",0.11,23.9,36.3,1013,0
"132",0.10,23.9,36.2,1013,0
"133",0.11,23.9,36.3,1013,0
"134",0.13,23.9,36.3,1013,0
"135",0.13,23.9,36.2,1013,0
"136",0.14,23.9,36.3,1013,0
"137",0.14,23.9,36.3,1013,0
"138",0.14,23.9,36.3,1013,0
"139",0.17,23.9,36.2,1013,0
"140",0.18,23.9,36.3,1013,0
"141",0.17,23.9,36.3,1013,0
"142",0.17,23.9,36.3,1013,0
"143",0.17,24.0,36.3,1013,0
"144",0.16,24.0,36.2,1013,0
"145",0.14,24.0,36.3,1013,0
"146",0.15,24.0,36.2,1013,0
"147",0.15,23.9,36.3,1013,0
"148",0.15,23.9,36.3,1013,0
"149",0.16,23.9,36.3,1013,0
"150",0.16,23.9,36.3,1013,0
"151",0.15,23.9,36.3,1013,0
"152",0.15,23.9,36.3,1013,0
"153",0.16,23.9,36.4,1013,0
"154",0.15,23.9,36.4,1013,0
"155",0.17,24.0,36.3,1013,0
"156",0.18,24.0,36.3,1013,0
"157",0.19,24.1,36.2,1013,0
"158",0.21,24.1,36.2,1013,0
"159",0.19,24.1,36.2,1013,0
"160",0.18,24.1,36.2,1013,0
"161",0.18,24.1,36.2,1013,0
"162",0.18,24.1,36.2,1013,0
"163",0.18,24.1,36.2,1013,0
"164",0.16,24.1,36.2,1013,0
"165",0.15,24.1,36.2,1013,0
"166",0.15,24.1,36.2,1013,0
"167",0.14,24.1,36.2,1013,0
"168",0.16,24.1,36.2,1013,0
"169",0.17,24.0,36.2,1013,0
"170",0.14,24.0,36.2,1013,0
"171",0.17,23.9,36.3,1013,0
"172",0.20,23.9,36.3,1013,0
"173",0.19,23.9,36.3,1013,0
"174",0.19,24.0,36.3,1013,0
"175",0.22,24.0,36.3,1013,0
"176",0.21,23.9,36.4,1013,0
"177",0.19,23.9,36.4,1013,0
"178",0.17,23.9,36.4,1013,0
"179",0.20,23.9,36.3,1013,0
"180",0.23,24.0,36.3,1013,0
"181",0.21,24.0,36.3,1013,0
"182",0.22,24.1,36.2,1013,0
"183",0.16,24.0,36.2,1013,0
"184",0.18,24.0,36.2,1013,0
"185",0.19,24.0,36.2,1013,0
"186",0.19,24.1,36.2,1013,0
"187",0.19,24.1,36.2,1013,0
"188",0.17,24.1,36.2,1013,0
"189",0.18,24.1,36.2,1013,0
"190",0.19,24.1,36.2,1013,0
"191",0.20,24.2,36.1,1013,0
"192",0.19,24.2,36.1,1013,0
"193",0.19,24.3,36.0,1013,0
"194",0.19,24.3,36.0,1013,0
"195",0.19,24.3,36.0,1013,0
"196",0.21,24.2,36.1,1013,0
"197",0.19,24.2,36.0,1013,0
"198",0.19,24.2,36.1,1013,0
"199",0.18,24.1,36.1,1013,0
"200",0.17,24.1,36.1,1013,0
"201",0.15,24.0,36.2,1013,0
"202",0.13,24.0,36.2,1013,0
"203",0.17,24.0,36.2,1013,0
"204",0.17,24.0,36.2,1013,0
"205",0.19,24.0,36.2,1013,0
"206",0.19,24.0,36.2,1013,0
"207",0.17,24.0,36.2,1013,0
"208",0.19,24.0,36.2,1013,0
"209",0.23,24.0,36.3,1013,0
"210",0.26,24.0,36.3,1013,0
"211",0.29,24.0,36.2,1013,0
"212",0.29,24.0,36.2,1013,0
"213",0.28,24.1,36.2,1013,0
"214",0.31,24.1,36.1,1013,0
"215",0.30,24.2,36.1,1013,0
"216",0.30,24.3,36.0,1013,0
"217",0.33,24.5,35.9,1013,0
"218",0.32,24.6,35.8,1013,0
